Country,Šalis
Country code,Šalies kodas
Price,Kaina
Weight To,Svoris iki
Courier Price,Kurjerio kaina
Terminal Price,Terminalo kaina
Post Office Price,Siuntimo pašto skyrių kaina kaina
Abroad Price,Siuntimo į užsienį kaina
Export CSV,Eksportuoti CSV
Troubleshoot,Klaidų paieška
Could not call courier,Kurjerio kvietimas negalimas
Courier called successfully.,Kurjeris iškviestas sėkmingai.
CN22 form saved successfully. Now you can create your shipping label.,CN22 forma išsaugota sėkmingai. Dabar galite kurti lipduką.
CN23 form saved successfully. Now you can create your shipping label.,CN23 forma išsaugota sėkmingai. Dabar galite kurti lipduką.
Please select shipping size. Changes have not been saved.,Prašome pasirinkti siuntos dydį. Pakeitimai nebuvo išsaugoti.
Shipment details has been successfully saved.,Siuntos informacija išsaugota sėkmingai.
Could not call courier for order,Kurjerio kvietimas negalimas užsakymui
Call Courier action complete,Kurjerio kvietimo operacija įvykdyta.
Could not cancel label for order,Lipduko atšaukimas negalimas užsakymui
"Could not cancel label for order, wrong order status","Lipduko atšaukimas negalimas užsakymui, netinkamas užsakymo statusas"
You have canceled the shipping labels.,Atšaukėte siuntinio lipdukus.
You can't create shipping labels for order,Nepavyko atšaukti lipduko užsakymui
You have already created label for order,Lipdukas jau sukurtas užsakymui
You created the shipping labels.,Lipdukai sukurti.
Manifest does not exist for order,Manifestas neegzistuoja užsakymui
Troubleshoot complete.,Klaidų paieška sėkminga.
Error. Please check your credentials.,Klaida. Prašome patikrinti autorizacijos duomenis.
Something wen't wrong.,Įvyko klaida.
Something wen't wrong. Please try again later.,Įvyko klaida. Prašome pamėginti vėliau.
Sender city is not valid.,Neteisingai Įvestas siuntėjo miestas.
Something wen't wrong. Please try again.,Įvyko klaida. Prašome pamėginti dar kartą.
Error authorization,Autorizacijos klaida
"Unable to find CN22 with ID ""%1""","Unable to find CN22 with ID ""%1"""
"Unable to find CN23 with ID ""%1""","Unable to find CN23 with ID ""%1"""
Lithuanian Post,Lietuvos paštas
LP EXPRESS,LP EXPRESS
Lithuania Post,Lietuvos paštas
Priority,Prioritetas
Registerd,Registruotas
Unauthorized,Neautorizuota
Active,Aktyvus
Unable to find terminal.,Terminalas nerastas.
Terminal,Terminalas
Something wen't wrong here..,Įvyko klaida..
Weight cell in the csv file cannot be empty.,Svorio laukelis negali būti tuščias.
Please check for weight duplicates in the csv file.,Svorio laukelyje rasta svorio dublikatų prašome patikrinti failą.
"Unable to find Sender with ID ""%1""","Unable to find Sender with ID ""%1"""
Unable to find Shipping Templates.,Unable to find Shipping Templates.
Accepted,Priimta
LP express terminal request accepted,LP express terminalo užklausa priimta
LP express terminal request failed,LP express terminalo užklausa nepavyko
LP express terminal request rejected,LP express terminalo užklausa atšaukta
BP terminal request submitted,BP terminalo užklausa pateikta
Canceled,Atšaukta
The parcel was taken from the Lithuanian Post Office,Siunta paimta iš Lietuvos Pašto
Parcel accepted from sender,Siunta priimta iš siuntėjo
The parcel was delivered to the Lithuanian Post Office,Siunta buvo pristatyta į Lietuvos Paštą
The shipment has been delivered to the receiver,Siunta pristatyta gavėjui
Delivery failed,Pristatyti nepavyko
Item shipped from Lithuania,Siunta išsiųsta iš Lietuvos
The parcel has been handed over to the courier for delivery,Siunta perduota kurjeriui
Shipment returned,Siunta grąžinta
The parcel is being returned,Siuntinys grąžinamas
The itemt was delivered for destruction,Siunta pristatyta sunaikinimui
Delivered,Pristatyta
Item accepted at distribution center,Siunta priimta skirstymo centre
The item shall be transported to another distribution center,Prekė gabenama į kitą skirstymo centrą
Destroyed,Sunaikinta
It's gone,Dingo
The shipment was detained at the distribution center of the recipient country,Siunta buvo sulaikyta šalies gavėjo paskirstymo centre
The item has been presented to the customs authorities of the country of destination,Siunta buvo pateikta paskirties šalies muitinei
The consignment is subject to customs controls in the country of destination,Siuntai taikoma muitinės kontrolė paskirties šalyje
Consignment at the distribution center in the country of destination,Siunta paskirties šalies paskirstymo centre
The shipment was sent from a distribution center in the recipient country,Siunta buvo išsiųsta iš gavėjo šalies paskirstymo centro
The shipment is on hold in the recipient's post office,Siunta yra sulaikyta gavėjo pašto skyriuje
The shipment has been delivered for delivery,Siunta buvo pristatyta pristatyti
The shipment was delivered to the place of collection,Siunta buvo pristatyta į surinkimo vietą
